transaction_id,customer_id,transaction_type,device_type,location,merchant_category,hour_of_day,transaction_amount,account_balance_before,balance_after_transaction,transactions_last_24h,is_international,is_anomaly
100001,1102,cash_out,POS,Chennai,fashion,23,4890.93,39330.34,34439.409999999996,2,0,0
100002,1435,purchase,POS,Chennai,utility,9,7468.3,49501.33,42033.03,1,0,0
100003,1860,purchase,POS,Hyderabad,electronics,1,4215.65,68629.56,64413.909999999996,9,0,0
100004,1270,payment,ATM,Hyderabad,electronics,5,2531.39,77627.34,75095.95,10,0,0
100005,1106,payment,mobile,Bangalore,electronics,2,4505.9,58896.07,54390.17,7,0,0
100006,1071,payment,ATM,Mumbai,utility,18,4366.89,41164.53,36797.64,3,1,0
100007,1700,purchase,mobile,Chennai,grocery,4,4783.51,50489.1,45705.59,6,1,0
100008,1020,purchase,web,Bangalore,fashion,6,3430.06,48523.74,45093.68,10,0,0
100009,1614,purchase,ATM,Hyderabad,utility,6,5906.57,47746.4,41839.83,4,0,0
100010,1121,cash_out,web,Hyderabad,travel,9,8233.57,46184.15,37950.58,9,0,0
100011,1466,purchase,POS,Chennai,travel,0,1827.52,35518.59,33691.07,2,0,0
100012,1214,cash_out,web,Hyderabad,utility,10,6126.79,64634.28,58507.49,11,0,0
100013,1330,payment,web,Hyderabad,utility,22,7399.32,62911.7,55512.38,4,0,0
100014,1458,payment,web,Delhi,grocery,6,3915.11,50347.44,46432.33,1,0,0
100015,1087,payment,web,Mumbai,travel,5,8130.5,68881.21,60750.71000000001,7,0,0
100016,1372,transfer,mobile,Hyderabad,fashion,5,4848.56,58865.76,54017.200000000004,4,0,0
100017,1099,transfer,ATM,Delhi,electronics,12,2185.06,33253.48,31068.420000000002,5,0,0
100018,1871,cash_in,mobile,Bangalore,electronics,15,1821.1,44683.93,42862.83,1,0,0
100019,1663,cash_in,mobile,Hyderabad,grocery,12,6962.02,72205.56,65243.53999999999,2,0,0
100020,1130,cash_in,mobile,Bangalore,grocery,1,6732.14,44590.28,37858.14,4,1,0
100021,1661,transfer,web,Hyderabad,travel,18,8910.73,39600.05,30689.320000000003,2,0,0
100022,1308,transfer,mobile,Chennai,fashion,18,6676.8,60836.14,54159.34,1,0,0
100023,1769,cash_in,ATM,Delhi,fashion,18,4751.32,45796.74,41045.42,10,0,0
100024,1343,cash_in,mobile,Delhi,utility,17,6205.77,58411.77,52206.0,1,0,0
100025,1491,purchase,POS,Chennai,grocery,5,5180.22,49458.26,44278.04,6,0,0
100026,1413,cash_in,web,Mumbai,electronics,1,4168.57,38050.17,33881.6,2,0,0
100027,1805,purchase,POS,Delhi,electronics,18,3626.59,39603.32,35976.729999999996,3,0,0
100028,1385,cash_out,ATM,Bangalore,travel,5,692.46,24713.76,24021.3,5,1,0
100029,1191,transfer,ATM,Delhi,electronics,19,3144.63,33422.26,30277.63,3,1,0
100030,1955,cash_in,ATM,Mumbai,fashion,22,4950.87,59425.68,54474.81,6,0,0
100031,1276,transfer,ATM,Bangalore,fashion,21,100.0,68086.56,67986.56,7,1,0
100032,1160,transfer,mobile,Bangalore,grocery,14,3712.84,40843.61,37130.770000000004,10,0,0
100033,1459,transfer,web,Chennai,travel,5,7301.43,29375.26,22073.829999999998,6,0,0
100034,1313,cash_out,ATM,Hyderabad,electronics,2,8358.07,67067.56,58709.49,2,0,0
100035,1021,payment,POS,Chennai,grocery,10,3681.39,67511.42,63830.03,9,0,0
100036,1252,cash_in,ATM,Hyderabad,utility,7,3587.5,60844.38,57256.88,2,0,0
100037,1747,payment,web,Chennai,utility,21,3200.05,28236.02,25035.97,6,1,0
100038,1856,payment,POS,Hyderabad,electronics,17,3604.02,57726.79,54122.770000000004,9,0,0
100039,1560,payment,POS,Delhi,electronics,16,7856.62,58273.68,50417.06,9,1,0
100040,1474,transfer,POS,Bangalore,electronics,18,9073.02,63508.64,54435.619999999995,2,0,0
100041,1058,purchase,mobile,Hyderabad,fashion,18,778.81,52264.84,51486.03,9,0,0
100042,1510,transfer,ATM,Delhi,electronics,23,2971.34,38747.37,35776.03,8,0,0
100043,1681,transfer,mobile,Mumbai,utility,20,341.32,43931.88,43590.56,7,1,0
100044,1475,payment,POS,Chennai,electronics,16,4928.41,67655.79,62727.37999999999,11,0,0
100045,1699,transfer,mobile,Mumbai,travel,3,3779.08,55693.13,51914.049999999996,8,0,0
100046,1975,payment,mobile,Delhi,utility,6,5897.3,30379.15,24481.850000000002,10,0,0
100047,1782,purchase,mobile,Mumbai,travel,4,6658.05,75597.01,68938.95999999999,8,0,0
100048,1189,cash_in,ATM,Mumbai,utility,15,6380.65,67333.21,60952.560000000005,1,0,0
100049,1957,payment,POS,Delhi,grocery,5,885.15,74937.48,74052.33,9,0,0
100050,1686,purchase,POS,Bangalore,utility,13,4935.74,67014.69,62078.950000000004,6,0,0
100051,1957,cash_in,ATM,Hyderabad,utility,19,760.7,36074.03,35313.33,1,0,0
100052,1562,cash_out,mobile,Chennai,travel,1,9342.18,54950.07,45607.89,1,0,0
100053,1875,payment,mobile,Hyderabad,travel,17,4113.31,59052.41,54939.100000000006,7,0,0
100054,1566,payment,web,Chennai,utility,17,1583.84,29835.44,28251.6,10,1,0
100055,1243,cash_out,web,Hyderabad,utility,12,3639.34,32414.2,28774.86,2,0,0
100056,1831,cash_out,web,Mumbai,fashion,17,5519.71,61150.97,55631.26,6,0,0
100057,1504,payment,ATM,Bangalore,grocery,16,6833.12,62340.32,55507.2,5,0,0
100058,1130,cash_out,POS,Mumbai,grocery,12,8250.77,85523.29,77272.51999999999,5,1,0
100059,1484,transfer,web,Bangalore,electronics,11,5157.27,46094.2,40936.92999999999,10,0,0
100060,1818,cash_in,POS,Delhi,utility,2,4165.42,24755.82,20590.4,6,0,0
100061,1646,cash_in,POS,Chennai,utility,21,6712.67,47733.01,41020.340000000004,11,1,0
100062,1020,cash_in,POS,Chennai,utility,6,6644.09,62651.9,56007.81,8,0,0
100063,1840,transfer,ATM,Delhi,utility,0,5296.95,44538.52,39241.57,5,0,0
100064,1166,cash_out,ATM,Hyderabad,grocery,4,7024.06,51526.19,44502.130000000005,8,0,0
100065,1273,purchase,ATM,Delhi,travel,20,3474.38,40368.53,36894.15,5,0,0
100066,1387,cash_out,ATM,Delhi,fashion,0,4939.94,67896.43,62956.48999999999,10,0,0
100067,1600,payment,web,Bangalore,travel,3,100.0,61169.23,61069.23,6,0,0
100068,1315,cash_in,mobile,Delhi,travel,0,8474.67,37698.88,29224.21,8,0,0
100069,1013,cash_out,mobile,Chennai,grocery,12,3770.77,42171.12,38400.350000000006,2,0,0
100070,1241,purchase,mobile,Mumbai,fashion,13,8488.91,39807.62,31318.710000000003,7,0,0
100071,1776,payment,web,Bangalore,utility,14,3359.52,22105.68,18746.16,3,0,0
100072,1345,transfer,mobile,Bangalore,grocery,16,5755.56,38570.25,32814.69,9,0,0
100073,1564,transfer,web,Hyderabad,grocery,11,5136.86,23407.05,18270.19,10,0,0
100074,1897,purchase,web,Mumbai,fashion,6,3495.01,64003.69,60508.68,7,0,0
100075,1339,payment,web,Bangalore,electronics,22,6199.02,65193.13,58994.11,3,0,0
100076,1091,cash_in,mobile,Delhi,grocery,18,8192.37,45518.16,37325.79,8,0,0
100077,1366,cash_out,POS,Bangalore,travel,22,9474.48,53070.44,43595.96000000001,10,1,0
100078,1955,payment,mobile,Bangalore,travel,2,6856.81,66064.99,59208.18000000001,2,0,0
100079,1454,transfer,mobile,Bangalore,utility,17,1974.92,61756.73,59781.810000000005,10,0,0
100080,1427,purchase,ATM,Hyderabad,grocery,3,1486.05,80070.48,78584.43,8,0,0
100081,1508,purchase,web,Bangalore,utility,2,7847.34,53891.19,46043.850000000006,7,0,0
100082,1775,cash_out,POS,Bangalore,grocery,11,2506.77,71789.53,69282.76,5,0,0
100083,1942,purchase,ATM,Hyderabad,fashion,22,6539.89,51426.8,44886.91,4,0,0
100084,1034,purchase,POS,Mumbai,grocery,11,5334.85,48207.52,42872.67,11,0,0
100085,1205,payment,POS,Chennai,electronics,16,8296.75,60180.26,51883.51,10,1,0
100086,1080,cash_in,web,Hyderabad,travel,5,6274.88,58282.3,52007.420000000006,10,0,0
100087,1931,cash_out,mobile,Hyderabad,fashion,14,4923.55,40881.17,35957.619999999995,1,0,0
100088,1561,payment,web,Bangalore,travel,1,10153.11,37639.53,27486.42,4,0,0
100089,1871,cash_in,web,Bangalore,utility,7,7058.12,51121.63,44063.509999999995,6,0,0
100090,1387,payment,ATM,Chennai,fashion,13,6386.83,21648.94,15262.109999999999,6,0,0
100091,1001,payment,web,Bangalore,electronics,4,3293.48,45387.04,42093.56,2,0,0
100092,1389,purchase,mobile,Delhi,travel,2,2133.39,35264.92,33131.53,9,0,0
100093,1565,cash_in,POS,Bangalore,grocery,9,4351.33,41354.81,37003.479999999996,1,0,0
100094,1105,cash_out,web,Bangalore,grocery,6,1252.94,38319.01,37066.07,4,0,0
100095,1771,cash_out,POS,Delhi,grocery,10,4195.06,61518.63,57323.57,4,0,0
100096,1821,cash_in,web,Chennai,fashion,14,7002.38,56700.19,49697.810000000005,2,0,0
100097,1476,purchase,POS,Delhi,electronics,1,7454.47,50794.29,43339.82,8,0,0
100098,1702,transfer,web,Hyderabad,electronics,4,4144.99,44249.35,40104.36,11,0,0
100099,1401,payment,ATM,Delhi,electronics,10,12339.94,65520.48,53180.54,2,0,0
100100,1729,purchase,POS,Mumbai,travel,7,8183.35,63509.73,55326.380000000005,2,0,0
100101,1555,cash_in,web,Hyderabad,fashion,12,4925.08,48332.88,43407.799999999996,2,0,0
100102,1161,payment,web,Bangalore,grocery,10,7853.56,70321.2,62467.64,1,0,0
100103,1201,cash_out,ATM,Hyderabad,travel,16,3551.27,47156.85,43605.58,5,1,0
100104,1957,transfer,ATM,Chennai,electronics,14,5634.79,53070.54,47435.75,11,0,0
100105,1995,cash_out,ATM,Chennai,grocery,0,4098.58,41386.72,37288.14,4,0,0
100106,1269,cash_in,POS,Delhi,fashion,18,1970.56,44101.85,42131.29,2,0,0
100107,1862,payment,POS,Hyderabad,utility,15,6331.58,40594.75,34263.17,1,0,0
100108,1815,cash_in,ATM,Bangalore,electronics,18,4985.24,60313.88,55328.64,1,0,0
100109,1270,payment,mobile,Chennai,electronics,12,5170.71,55643.29,50472.58,2,0,0
100110,1455,purchase,mobile,Bangalore,electronics,22,4932.16,34208.92,29276.76,1,0,0
